# MCP Catalog
# Format : deprecated|type|id|label|description|cmd|args|transport|env_vars
# deprecated : 0=actif, 1=deprecie (fonctionne mais remplace par une version plus recente)
# env_vars : var1:desc1,var2:desc2 (vide si aucune)
#
# == Reference MCP (modelcontextprotocol) ==
0|npx|everything|Everything|Serveur test avec prompts resources et tools|npx|-y @modelcontextprotocol/server-everything|stdio|
0|uvx|fetch|Fetch|Recuperer et convertir le contenu web pour LLM|uvx|mcp-server-fetch|stdio|
0|npx|filesystem|Filesystem|Operations fichiers securisees lecture ecriture creation|npx|-y @modelcontextprotocol/server-filesystem /app /tmp/workspace|stdio|
0|uvx|git|Git|Lire chercher manipuler des repos Git locaux|uvx|mcp-server-git|stdio|
0|npx|memory|Memory|Memoire persistante knowledge graph entre sessions|npx|-y @modelcontextprotocol/server-memory|stdio|
0|npx|sequential-thinking|Sequential Thinking|Raisonnement par etapes reflexion structuree|npx|-y @modelcontextprotocol/server-sequential-thinking|stdio|
0|npx|time|Time|Fuseaux horaires conversions date heure|npx|-y @modelcontextprotocol/server-time|stdio|
#
# == Code et Repositories ==
0|npx|github|GitHub|Repos PRs issues branches commits code search|npx|-y @modelcontextprotocol/server-github|stdio|PERSONAL_ACCESS_TOKEN:GitHub PAT (scopes repo read:org)
1|npx|github-legacy|GitHub (legacy)|Repos PRs issues branches commits code search|npx|-y @modelcontextprotocol/server-github|stdio|PERSONAL_ACCESS_TOKEN:GitHub PAT (scopes repo read:org)
1|uvx|gitlab-legacy|GitLab (legacy)|Projets merge requests issues pipelines|uvx|mcp-server-gitlab|stdio|PERSONAL_ACCESS_TOKEN:GitLab PAT,GITLAB_API_URL:URL API GitLab
0|npx|gitlab|GitLab|Projets merge requests issues pipelines CI/CD|npx|-y @gitlab-org/gitlab-mcp-server|stdio|PERSONAL_ACCESS_TOKEN:GitLab PAT,GITLAB_API_URL:URL API GitLab
#
# == Communication et Productivite ==
1|uvx|slack-legacy|Slack (legacy)|Messages channels recherche reactions|uvx|mcp-server-slack|stdio|BOT_TOKEN:Token bot Slack (xoxb-...),SLACK_TEAM_ID:ID equipe Slack
0|npx|notion|Notion|Pages bases de donnees blocs recherche CRUD|npx|-y @notionhq/notion-mcp-server|stdio|API_KEY:Cle API Notion (secret_...)
0|npx|outline|Outline|Wiki collaboratif documents collections recherche publication|npx|-y @punkpeye/outline-mcp-server|stdio|OUTLINE_API_KEY:Cle API Outline,OUTLINE_URL:URL instance Outline
0|uvx|linear|Linear|Issues projets cycles equipes labels|uvx|mcp-server-linear|stdio|API_KEY:Cle API Linear
#
# == Bases de donnees ==
1|npx|postgres-legacy|PostgreSQL (legacy)|Acces lecture seule schemas queries SQL|npx|-y @modelcontextprotocol/server-postgres|stdio|
0|uvx|sqlite|SQLite|Queries SQL sur fichiers SQLite locaux|uvx|mcp-server-sqlite|stdio|
1|uvx|redis-legacy|Redis (legacy)|GET SET DEL KEYS operations Redis|uvx|mcp-server-redis|stdio|URL:URI Redis (redis://host:6379)
#
# == Cloud et Infrastructure ==
0|npx|cloudflare|Cloudflare|Workers KV R2 D1 DNS Pages|npx|-y @cloudflare/mcp-server-cloudflare|stdio|API_TOKEN:Token API Cloudflare
#
# == Monitoring ==
1|uvx|sentry-legacy|Sentry (legacy)|Issues erreurs performance releases|uvx|mcp-server-sentry|stdio|AUTH_TOKEN:Token authentification Sentry
0|npx|sentry|Sentry|Issues erreurs performance releases projets|npx|-y @sentry/mcp-server-sentry|stdio|AUTH_TOKEN:Token authentification Sentry
#
# == Test et Qualite ==
0|npx|playwright|Playwright|Tests E2E screenshots navigation web automatisee|npx|-y @playwright/mcp|stdio|
1|npx|puppeteer-legacy|Puppeteer (legacy)|Automatisation navigateur web scraping|npx|-y @modelcontextprotocol/server-puppeteer|stdio|
#
# == Design ==
0|npx|figma|Figma|Fichiers design composants styles variables|npx|-y figma-developer-mcp --stdio|stdio|API_KEY:Cle API Figma
#
# == Recherche ==
1|uvx|brave-search-legacy|Brave Search (legacy)|Recherche web et locale via Brave|uvx|mcp-server-brave-search|stdio|API_KEY:Cle API Brave Search
0|npx|brave-search|Brave Search|Recherche web et locale via Brave API|npx|-y @anthropic/mcp-server-brave-search|stdio|API_KEY:Cle API Brave Search
0|npx|context7|Context7|Documentation live des frameworks et librairies|npx|-y @upstash/context7-mcp|stdio|
#
# == Google ==
1|uvx|google-drive-legacy|Google Drive (legacy)|Fichiers recherche partage dossiers|uvx|mcp-server-google-drive|stdio|CLIENT_ID:Client ID Google OAuth,GOOGLE_CLIENT_SECRET:Client Secret Google OAuth
1|npx|google-maps-legacy|Google Maps (legacy)|Geocoding directions places details|npx|-y @modelcontextprotocol/server-google-maps|stdio|MAPS_API_KEY:Cle API Google Maps
#
# == Divers ==
1|uvx|everart-legacy|EverArt (legacy)|Generation images IA avec divers modeles|uvx|mcp-server-everart|stdio|API_KEY:Cle API EverArt
